Precipitation in hundredths of an inch.  ie.  45 = 0.45",  257 = 2.57" 
 Year  Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec. 
 1895 1733    445    571    220    383      9     47     18    220      7    286    703
 1896 1692    262    568    974    577     29     20     71     81    218   1005   1103
 1897  407   1092    923    174     72    172      3     14     66    295    558    623
 1898  218    947    103    150    360    124      5     16    150    189    420    306
 1899 1095    341   1034    128    244     75      4     35     77    615   1301    906
 1900  698    548    474    385    234    130      1     40     46    755    579    582
 1901  876    855    300    442    121      6      2     32    266    252    717    546
 1902  309   2259    580    591    319     22     22     33     19    501   1142    924
 1903 1355    357    915     97     61     56     14     16     16    172   1700    556
 1904  438   2133   1788    509     38     48     69      3    217    520    448    990
 1905  984    340    921    173    272     36      1      3     63     87    394    468
 1906 1487    819   1093    225    477    230      1      0     84     52    401   1135
 1907 1137   1004   1591    317    213    180     16     85     59    169    175   1353
 1908  735    753    196    137    258     60      9      2     28    383    478    495
 1909 2730   1405    412     15     60     34     32      3    149    412   1256    739
 1910  688    704    413    143     89     29      9      0     41    123    835    419
 1911 1470    429    637    368    196     39     26      0     67    142    238    497
 1912  845    469    635    594    333    149     21     29    320    257    805    567
 1913 1036     71    338    356    205    174     93     19     41     54    953   1357
 1914 1984    627    245    439    127    173     19      6    134    445    249    755
 1915 1235   1712    483    225    467      8     31      3      7     66    595    986
 1916 1685    641    532    139    130    114     78     40     37     85    462    743
 1917  504    893    331    411    130      4      2      9     60      0    592    428
 1918  316    824    597    177     41     11      5     38    243    199    582    402
 1919  976   1369    614    345     66     14      2      1    164     79    238    776
 1920  110    148    590    487     41    156     41     51    154    474   1468   1476
 1921 1150    573    423    117    267     29      0      3     48    226    585    704
 1922  263   1022    626    137    144     75      7     15     40    468    443   1268
 1923  480    156     46    636     95    145     21     25    232    243    193    389
 1924  368    454    186     48     18     23      3     74     45    926    645    871
 1925  416   1485    349    711    395     82     15     40    241     66    542    365
 1926  744   1012     20    496    154      0     11     39     25    394   1795    676
 1927  925   1492    470    443    143     90     11      3     49    212   1033    541
 1928  554    430    993    484     26     32      4      2     48    172    697    758
