Year  Jan.   Feb.   Mar.   Apr.   May    Jun.   Jul.   Aug.   Sep.   Oct.   Nov.   Dec. 
 1895  379    430    436    483    535    612    650    656    584    558    436    371
 1896  420    436    451    425    498    607    692    660    606    547    420    428
 1897  396    398    384    506    579    591    656    670    603    530    431    399
 1898  355    428    418    500    517    601    660    671    609    529    441    382
 1899  410    402    428    473    490    595    657    615    637    503    474    398
 1900  431    424    481    464    536    612    661    631    591    508    463    413
 1901  369    401    452    452    528    578    646    668    590    561    468    402
 1902  379    434    417    462    513    601    647    658    627    529    433    394
 1903  388    361    419    455    544    616    635    654    618    565    460    401
 1904  386    385    407    481    569    612    657    667    628    539    473    398
 1905  418    435    466    498    498    592    681    664    619    528    435    380
 1906  403    439    426    497    521    569    707    673    620    546    446    409
 1907  372    469    410    500    535    583    660    650    602    566    458    415
 1908  416    403    440    500    492    582    701    664    623    518    467    373
 1909  409    400    427    500    525    605    642    662    631    536    442    369
 1910  354    383    482    515    572    588    683    662    604    556    447    420
 1911  377    365    466    466    503    596    688    649    576    522    442    375
 1912  409    436    419    452    535    595    642    641    602    494    451    389
 1913  348    389    419    468    547    584    664    687    635    550    450    391
 1914  411    415    488    491    562    590    665    674    590    534    452    356
 1915  385    410    469    504    507    593    656    682    600    541    428    397
 1916  334    445    456    496    502    585    640    654    615    504    409    355
 1917  337    386    384    458    498    592    684    669    623    569    466    432
 1918  418    399    438    484    517    651    643    651    622    553    432    368
 1919  391    385    424    494    549    587    667    663    603    498    426    368
 1920  415    411    413    456    527    597    640    677    604    502    436    390
 1921  384    420    460    470    513    607    664    648    600    556    461    399
 1922  347    372    400    452    535    618    685    645    637    522    414    387
 1923  379    401    447    472    531    561    652    658    631    522    472    371
 1924  374    449    421    502    579    609    657    654    608    504    439    355
 1925  411    420    447    483    540    603    679    639    577    519    433    405
 1926  384    435    494    528    550    643    679    658    587    548    488    387
 1927  410    410    430    466    512    599    662    647    592    537    463    375
 1928  402    424    469    466    574    596    665    657    618    529    439    372
 1929  359    384    439    436    535    590    653    662    602    553    446    442
 1930  352    441    464    493    502    597    659    656    599    531    448    380
 1931  399    434    460    499    584    594    692    667    600    531    411    368
 1932  361    385    460    459    530    620    647    656    651    542    479    345
 1933  350    361    431    478    483    590    681    673    593    573    464    407
 1934  436    451    519    531    567    598    656    677    628    543    468    410
 1935  376    422    406    480    542    616    647    665    637    527    427    402
 1936  417    418    454    504    562    607    670    673    626    560    442    390
 1937  296    375    441    461    553    608    681    659    626    557    468    424
 1938  410    397    413    483    548    623    683    652    637    532    421    413
 1939  392    382    458    524    555    598    675    675    634    546    455    432
 1940  424    437    467    499    568    639    656    675    614    552    439    420
 1941  419    448    474    476    550    584    684    650    600    525    475    411
 1942  397    403    429    470    508    589    677    669    621    551    450    413
 1943  387    433    459    495    537    568    664    644    661    536    464    410
 1944  390    403    442    458    536    575    656    652    635    562    435    417
 1945  406    427    412    478    532    601    680    658    627    561    442    406
 1946  384    388    432    489    544    580    670    666    612    507    429    410
 1947  369    448    468    508    576    594    645    647    634    542    435    399
 1948  409    387    408    431    507    602    646    643    609    538    430    348
 1949  306    368    426    511    549    611    659    648    636    515    490    378
 1950  330    409    425    481    536    592    680    680    627    549    484    445
 1951  388    412    423    500    544    617    662    665    642    534    452    378
 1952  356    402    403    493    550    574    691    661    653    578    422    389
 1953  434    426    428    466    500    562    669    653    659    535    472    411
 1954  395    436    422    501    560    579    662    633    606    532    465    385
 1955  361    388    426    429    533    602    638    668    619    549    433    417
 1956  406    370    432    486    546    595    676    651    625    525    446    386
 1957  343    425    443    484    544    625    657    644    645    522    434    408
 1958  408    454    410    475    575    615    688    699    641    574    466    450
 1959  419    402    457    514    523    616    694    667    616    566    455    388
 1960  386    414    464    474    520    641    692    659    635    547    441    405
 1961  415    436    428    486    517    641    680    688    609    541    433    390
 1962  370    402    418    510    516    602    662    657    636    539    467    421
 1963  371    483    426    435    548    593    639    654    651    551    448    406
 1964  380    407    415    464    514    586    665    663    612    572    427    417
 1965  397    419    451    480    524    586    661    664    602    573    466    373
 1966  387    393    439    513    564    598    643    677    637    549    461    411
 1967  398    426    413    401    545    606    683    701    662    552    480    356
 1968  374    461    458    481    531    615    681    647    636    537    447    372
 1969  365    379    431    468    572    612    672    666    642    517    461    426
